Compound,LogKp,MW,LogP,HBD,HBA,LogS
Acetic acid,-6.079,60.052,-0.223,1,2,0.633
Diazinon,-5.617,304.34,4.192,0,2,-3.889
Ethacrynic acid,-7.38,303.14,3.656,1,4,-4.743
Linolenic acid,-5.988,278.436,6.06,1,2,-7.167
Octylparaben,-5.588,250.338,4.775,1,2,-4.638
Oleic acid,-6.442,282.468,6.784,1,2,-7.416
Propylparaben,-5.41,180.203,2.552,1,2,-2.046
