Compound,LogKp,MW,LogP,HBD,HBA,LogS
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37
