Compound,LogKp,MW,LogP,HBD,HBA,LogS
Parathion,-7.28,291.26,3.315,0,2,-4.513
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
