Compound,LogKp,MW,LogP,HBD,HBA,LogS
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555
L-alanyl-L-tryptophan,-8.38,275.308,-1.625,4,4,-2.892
