Compound,LogKp,MW,LogP,HBD,HBA,LogS
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267
