Compound,LogKp,MW,LogP,HBD,HBA,LogS
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
